Cuvant: ~If~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~469~
Cuvant: ~With~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~176~
Cuvant: ~lefthander~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Don~; Parte expl.: ~substantiv~; Nr. intrari: ~18~
Cuvant: ~Taussig~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~center~; Parte expl.: ~substantiv~; Nr. intrari: ~101~
Cuvant: ~Lindy~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~McDaniel~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~threw~; Parte expl.: ~verb~; Nr. intrari: ~33~
Cuvant: ~batting~; Parte expl.: ~verb~; Nr. intrari: ~9~
Cuvant: ~practice~; Parte expl.: ~substantiv~; Nr. intrari: ~37~
Cuvant: ~minutes~; Parte expl.: ~substantiv~; Nr. intrari: ~121~
Cuvant: ~looked~; Parte expl.: ~verb~; Nr. intrari: ~235~
Cuvant: ~He~; Parte expl.: ~pronume~; Nr. intrari: ~2103~
Cuvant: ~groove~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Our~; Parte expl.: ~pronume~; Nr. intrari: ~53~
Cuvant: ~pitching~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~statistics~; Parte expl.: ~substantiv~; Nr. intrari: ~14~
Cuvant: ~extra~; Parte expl.: ~adjectiv~; Nr. intrari: ~28~
Cuvant: ~loose~; Parte expl.: ~adverb~; Nr. intrari: ~8~
Cuvant: ~Six~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Bucks~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Until~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~14~
Cuvant: ~Bucs'~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~bats~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~quieted~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~bit~; Parte expl.: ~substantiv~; Nr. intrari: ~74~
Cuvant: ~Cincinnati~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~weekend~; Parte expl.: ~substantiv~; Nr. intrari: ~22~
Cuvant: ~hitting~; Parte expl.: ~verb~; Nr. intrari: ~9~
Cuvant: ~Despite~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~21~
Cuvant: ~recession~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~town~; Parte expl.: ~substantiv~; Nr. intrari: ~143~
Cuvant: ~imposing~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~list~; Parte expl.: ~substantiv~; Nr. intrari: ~93~
Cuvant: ~averages~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~Smoky~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Burgess~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Gino~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Cimoli~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Virdon~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Clemente~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Dick~; Parte expl.: ~substantiv~; Nr. intrari: ~13~
Cuvant: ~Groat~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Stuart~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~Hoak~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Skinner~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Mazeroski~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Hal~; Parte expl.: ~substantiv~; Nr. intrari: ~28~
Cuvant: ~Smith~; Parte expl.: ~substantiv~; Nr. intrari: ~25~
Cuvant: ~dragging~; Parte expl.: ~verb~; Nr. intrari: ~10~
Cuvant: ~feet~; Parte expl.: ~substantiv~; Nr. intrari: ~202~
Cuvant: ~Perhaps~; Parte expl.: ~adverb~; Nr. intrari: ~59~
Cuvant: ~unhappiest~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~news~; Parte expl.: ~substantiv~; Nr. intrari: ~63~
Cuvant: ~sit~; Parte expl.: ~verb~; Nr. intrari: ~41~
Cuvant: ~series~; Parte expl.: ~substantiv~; Nr. intrari: ~73~
Cuvant: ~Friend~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~beaten~; Parte expl.: ~verb~; Nr. intrari: ~10~
Cuvant: ~Man~; Parte expl.: ~substantiv~; Nr. intrari: ~31~
Cuvant: ~dramatic~; Parte expl.: ~adjectiv~; Nr. intrari: ~38~
Cuvant: ~runs~; Parte expl.: ~substantiv~; Nr. intrari: ~28~
Cuvant: ~action~; Parte expl.: ~substantiv~; Nr. intrari: ~168~
Cuvant: ~week~; Parte expl.: ~substantiv~; Nr. intrari: ~168~
Cuvant: ~We're~; Parte expl.: ~pronume~; Nr. intrari: ~19~
Cuvant: ~change~; Parte expl.: ~substantiv~; Nr. intrari: ~72~
Cuvant: ~blasting~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~ball~; Parte expl.: ~substantiv~; Nr. intrari: ~72~
Cuvant: ~No~; Parte expl.: ~articol~; Nr. intrari: ~149~
Cuvant: ~plunkers~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Bucs~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~jumped~; Parte expl.: ~verb~; Nr. intrari: ~26~
Cuvant: ~11-3~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~May~; Parte expl.: ~substantiv~; Nr. intrari: ~54~
Cuvant: ~Dodgers~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~held~; Parte expl.: ~verb~; Nr. intrari: ~83~
Cuvant: ~On~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~193~
Cuvant: ~stood~; Parte expl.: ~verb~; Nr. intrari: ~157~
Cuvant: ~7-6~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~two-season~; Parte expl.: ~adjectiv~; Nr. intrari: ~2~
Cuvant: ~fall-off~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~milestone~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~In~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~932~
Cuvant: ~Birds~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~3-10~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~A~; Parte expl.: ~articol~; Nr. intrari: ~706~
Cuvant: ~4-13~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Since~; Parte expl.: ~interjectie/prepozitie/conjunctie~; Nr. intrari: ~21~
Cuvant: ~St.~; Parte expl.: ~substantiv~; Nr. intrari: ~34~
Cuvant: ~Louis~; Parte expl.: ~substantiv~; Nr. intrari: ~48~
Cuvant: ~club~; Parte expl.: ~substantiv~; Nr. intrari: ~38~
Cuvant: ~times~; Parte expl.: ~substantiv~; Nr. intrari: ~157~
Cuvant: ~'49~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~so-so~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~5-5~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~fell~; Parte expl.: ~verb~; Nr. intrari: ~57~
Cuvant: ~12-17~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~finishing~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~victories~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~'52~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Cards~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~6-7~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~triumphs~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~club's~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~Then~; Parte expl.: ~adverb~; Nr. intrari: ~249~
Cuvant: ~tumbled~; Parte expl.: ~verb~; Nr. intrari: ~5~
Cuvant: ~11-18~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~recovering~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~race~; Parte expl.: ~substantiv~; Nr. intrari: ~67~
Cuvant: ~total~; Parte expl.: ~verb~; Nr. intrari: ~3~
Cuvant: ~National~; Parte expl.: ~adjectiv~; Nr. intrari: ~76~
Cuvant: ~League~; Parte expl.: ~substantiv~; Nr. intrari: ~27~
Cuvant: ~hot~; Parte expl.: ~adjectiv~; Nr. intrari: ~85~
Cuvant: ~runaway~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~'55~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Dodger~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Those~; Parte expl.: ~adjectiv~; Nr. intrari: ~34~
Cuvant: ~owned~; Parte expl.: ~verb~; Nr. intrari: ~9~
Cuvant: ~21-2~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~nine-game~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~lead~; Parte expl.: ~substantiv~; Nr. intrari: ~27~
Cuvant: ~overcame~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~worst~; Parte expl.: ~adjectiv~; Nr. intrari: ~21~
Cuvant: ~comparable~; Parte expl.: ~adjectiv~; Nr. intrari: ~14~
Cuvant: ~period~; Parte expl.: ~substantiv~; Nr. intrari: ~135~
Cuvant: ~win~; Parte expl.: ~verb~; Nr. intrari: ~35~
Cuvant: ~pennant~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~New~; Parte expl.: ~adjectiv~; Nr. intrari: ~362~
Cuvant: ~York's~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~'51~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~dropped~; Parte expl.: ~verb~; Nr. intrari: ~56~
Cuvant: ~honored~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~battling~; Parte expl.: ~verb~; Nr. intrari: ~2~
Cuvant: ~Billikens~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Speakers~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Tipoff~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~Club~; Parte expl.: ~substantiv~; Nr. intrari: ~42~
Cuvant: ~dinner~; Parte expl.: ~substantiv~; Nr. intrari: ~61~
Cuvant: ~dealt~; Parte expl.: ~verb~; Nr. intrari: ~6~
Cuvant: ~lavish~; Parte expl.: ~adjectiv~; Nr. intrari: ~3~
Cuvant: ~praise~; Parte expl.: ~substantiv~; Nr. intrari: ~10~
Cuvant: ~University~; Parte expl.: ~substantiv~; Nr. intrari: ~87~
Cuvant: ~players~; Parte expl.: ~substantiv~; Nr. intrari: ~20~
Cuvant: ~Coach~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~John~; Parte expl.: ~substantiv~; Nr. intrari: ~213~
Cuvant: ~Benington~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~confidence~; Parte expl.: ~substantiv~; Nr. intrari: ~36~
Cuvant: ~valuable~; Parte expl.: ~adjectiv~; Nr. intrari: ~28~
Cuvant: ~player~; Parte expl.: ~substantiv~; Nr. intrari: ~13~
Cuvant: ~award~; Parte expl.: ~substantiv~; Nr. intrari: ~11~
Cuvant: ~split~; Parte expl.: ~verb~; Nr. intrari: ~9~
Cuvant: ~Glen~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Mankowski~; Parte expl.: ~substantiv~; Nr. intrari: ~3~
Cuvant: ~Gordon~; Parte expl.: ~substantiv~; Nr. intrari: ~7~
Cuvant: ~Hartweger~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
Cuvant: ~Tom~; Parte expl.: ~substantiv~; Nr. intrari: ~51~
Cuvant: ~Kieffer~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~addition~; Parte expl.: ~substantiv~; Nr. intrari: ~72~
Cuvant: ~special~; Parte expl.: ~adjectiv~; Nr. intrari: ~125~
Cuvant: ~Bevo~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~Nordmann~; Parte expl.: ~substantiv~; Nr. intrari: ~4~
Cuvant: ~6-foot-10~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~missed~; Parte expl.: ~verb~; Nr. intrari: ~14~
Cuvant: ~knee~; Parte expl.: ~substantiv~; Nr. intrari: ~27~
Cuvant: ~injury~; Parte expl.: ~substantiv~; Nr. intrari: ~19~
Cuvant: ~You~; Parte expl.: ~pronume~; Nr. intrari: ~386~
Cuvant: ~hear~; Parte expl.: ~verb~; Nr. intrari: ~106~
Cuvant: ~people~; Parte expl.: ~substantiv~; Nr. intrari: ~480~
Cuvant: ~talk~; Parte expl.: ~verb~; Nr. intrari: ~76~
Cuvant: ~spirit~; Parte expl.: ~substantiv~; Nr. intrari: ~106~
Cuvant: ~sort~; Parte expl.: ~substantiv~; Nr. intrari: ~85~
Cuvant: ~conversation~; Parte expl.: ~substantiv~; Nr. intrari: ~32~
Cuvant: ~ceremonies~; Parte expl.: ~substantiv~; Nr. intrari: ~12~
Cuvant: ~boys~; Parte expl.: ~substantiv~; Nr. intrari: ~82~
Cuvant: ~tremendous~; Parte expl.: ~adjectiv~; Nr. intrari: ~18~
Cuvant: ~respect~; Parte expl.: ~substantiv~; Nr. intrari: ~46~
Cuvant: ~other's~; Parte expl.: ~adverb~; Nr. intrari: ~8~
Cuvant: ~ability~; Parte expl.: ~substantiv~; Nr. intrari: ~40~
Cuvant: ~Several~; Parte expl.: ~adverb~; Nr. intrari: ~25~
Cuvant: ~pepping~; Parte expl.: ~verb~; Nr. intrari: ~1~
Cuvant: ~coach~; Parte expl.: ~substantiv~; Nr. intrari: ~13~
Cuvant: ~supposed~; Parte expl.: ~verb~; Nr. intrari: ~37~
Cuvant: ~deliver~; Parte expl.: ~verb~; Nr. intrari: ~12~
Cuvant: ~fight~; Parte expl.: ~substantiv~; Nr. intrari: ~37~
Cuvant: ~talk~; Parte expl.: ~substantiv~; Nr. intrari: ~20~
Cuvant: ~We'd~; Parte expl.: ~pronume~; Nr. intrari: ~4~
Cuvant: ~losing~; Parte expl.: ~verb~; Nr. intrari: ~18~
Cuvant: ~halftime~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~'~; Parte expl.: ~punctuatie~; Nr. intrari: ~220~
Cuvant: ~Don't~; Parte expl.: ~verb~; Nr. intrari: ~66~
Cuvant: ~worry~; Parte expl.: ~verb~; Nr. intrari: ~33~
Cuvant: ~--~; Parte expl.: ~punctuatie~; Nr. intrari: ~2095~
Cuvant: ~'em~; Parte expl.: ~pronume~; Nr. intrari: ~37~
Cuvant: ~trio~; Parte expl.: ~substantiv~; Nr. intrari: ~8~
Cuvant: ~shared~; Parte expl.: ~verb~; Nr. intrari: ~10~
Cuvant: ~most-valuable~; Parte expl.: ~adjectiv~; Nr. intrari: ~1~
Cuvant: ~honors~; Parte expl.: ~substantiv~; Nr. intrari: ~2~
Cuvant: ~introduced~; Parte expl.: ~verb~; Nr. intrari: ~21~
Cuvant: ~Broeg~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~sports~; Parte expl.: ~substantiv~; Nr. intrari: ~23~
Cuvant: ~editor~; Parte expl.: ~substantiv~; Nr. intrari: ~23~
Cuvant: ~Post-Dispatch~; Parte expl.: ~substantiv~; Nr. intrari: ~1~
Cuvant: ~junior~; Parte expl.: ~substantiv~; Nr. intrari: ~5~
